ElapsedTime(s),Battery(%)
136.098,88.0717
136.198,88.075
136.298,88.0783
136.398,88.0816
136.498,88.0849
136.598,88.0882
136.698,88.0915
136.798,88.0948
136.898,88.0981
136.998,88.1014
137.098,88.1047
137.198,88.108
137.298,88.1114
137.398,88.1147
137.498,88.118
137.598,88.1213
137.698,88.1246
137.798,88.1279
137.898,88.1312
137.998,88.1345
138.098,88.1378
138.198,88.1411
138.298,88.1444
138.398,88.1477
138.498,88.151
138.598,88.1544
138.698,88.1577
138.798,88.161
138.898,88.1643
138.998,88.1676
139.098,88.1709
139.198,88.1742
139.298,88.1775
139.398,88.1808
139.498,88.1841
139.598,88.1874
139.698,88.1907
139.798,88.194
139.898,88.1973
139.998,88.2007
140.098,88.204
140.198,88.2073
140.298,88.2106
140.398,88.2139
140.498,88.2172
140.598,88.2205
140.698,88.2238
140.798,88.2271
140.898,88.2304
140.998,88.2337
141.098,88.237
141.198,88.2403
141.298,88.2437
141.398,88.247
141.498,88.2503
141.598,88.2536
141.698,88.2569
141.799,88.2602
141.898,88.2635
141.998,88.2668
142.098,88.2701
142.198,88.2734
142.298,88.2767
142.398,88.28
142.498,88.2833
142.598,88.2867
142.698,88.29
142.798,88.2933
142.898,88.2966
142.998,88.2999
143.098,88.3032
143.198,88.3065
143.298,88.3098
143.398,88.3131
143.498,88.3164
143.598,88.3197
143.698,88.323
143.798,88.3263
143.898,88.3296
143.998,88.333
144.098,88.3363
144.198,88.3396
144.299,88.3429
144.398,88.3462
144.498,88.3495
144.598,88.3528
144.698,88.3561
144.798,88.3594
144.898,88.3627
144.998,88.366
145.099,88.3693
145.198,88.3726
145.298,88.3759
