Accumulated Time [min],Battery [%],Work Count [times]
6.67904,88.4708,2
6.68071,88.4679,2
6.68238,88.4651,2
6.68404,88.4622,2
6.68571,88.4593,2
6.68738,88.4566,2
6.68904,88.4537,2
6.69071,88.4508,2
6.69238,88.4479,2
6.69404,88.4451,2
6.69572,88.4422,2
6.69738,88.4393,2
6.69904,88.4364,2
6.70071,88.4336,2
6.70238,88.4307,2
6.70404,88.4278,2
6.70571,88.4249,2
6.70738,88.4221,2
6.70905,88.4192,2
6.71071,88.4163,2
6.71238,88.4134,2
6.71404,88.4106,2
6.71571,88.4077,2
6.71738,88.4048,2
6.71904,88.4022,2
6.72072,88.3993,2
6.72238,88.3965,2
6.72405,88.3936,2
6.72571,88.3907,2
6.72738,88.3878,2
6.72905,88.385,2
6.73071,88.3821,2
6.73238,88.3792,2
6.73404,88.3763,2
6.73571,88.3735,2
6.73738,88.3706,2
6.73904,88.3677,2
6.74071,88.3648,2
6.74238,88.362,2
6.74404,88.3591,2
6.74571,88.3562,2
6.74738,88.3533,2
6.74905,88.3504,2
6.75071,88.3476,2
6.75238,88.3447,2
6.75404,88.3418,2
6.75571,88.339,2
6.75738,88.3361,2
6.75904,88.3332,2
6.76071,88.3303,2
6.76238,88.3274,2
6.76405,88.3246,2
6.76571,88.3217,2
6.76738,88.3188,2
6.76904,88.3159,2
6.77072,88.3132,2
6.77238,88.3103,2
6.77405,88.3075,2
6.77572,88.3046,2
6.77738,88.3017,2
6.77905,88.2988,2
6.78072,88.296,2
6.78238,88.2931,2
6.78405,88.2902,2
6.78572,88.2873,2
6.78738,88.2844,2
6.78905,88.2816,2
6.79072,88.2787,2
6.79238,88.2758,2
6.79404,88.2729,2
6.79571,88.2701,2
6.79738,88.2672,2
6.79904,88.2643,2
6.80071,88.2614,2
6.80238,88.2586,2
6.80405,88.2557,2
6.80571,88.2528,2
6.80739,88.2499,2
6.80905,88.2471,2
6.81071,88.2442,2
6.81238,88.2414,2
6.81404,88.2386,2
6.81571,88.2357,2
6.81738,88.2328,2
6.81905,88.2299,2
6.82071,88.2271,2
6.82238,88.2246,2
6.82404,88.2218,2
6.82571,88.2187,2
6.82738,88.2159,2
6.82905,88.213,2
6.83071,88.2101,2
6.83238,88.2072,2
6.83404,88.2044,2
6.83571,88.2015,2
6.83738,88.1986,2
6.83904,88.1957,2
6.84071,88.1928,2
6.84239,88.19,2
6.84405,88.1871,2
6.84571,88.1842,2
6.84738,88.1814,2
6.84905,88.1785,2
6.85071,88.1756,2
6.85238,88.1727,2
